#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
135.098301,51,3.982939
280.141216,88,4.11839
74.413081,34,4.180089
139.556809,51,4.262141
209.32038,70,4.375157
71.256564,33,4.434197
88.369912,37,4.499218
70.528465,33,4.560341
75.644476,35,4.623087
138.875784,51,4.707462
121.887197,47,4.787375
382.820902,112,4.956944
71.115258,33,5.016249
126.017147,48,5.097677
256.282001,81,5.222543
226.473238,74,5.340711
246.255089,78,5.460873
169.717141,59,5.560835
198.634401,70,5.669722
237.994062,81,5.818686
175.397521,61,5.918656
142.654162,53,6.00736
400.696094,121,6.190558
224.945359,74,6.308165
143.815222,53,6.394455
106.840646,42,6.466586
151.728704,55,6.558133
145.032586,57,6.651435
153.24513,55,6.741282
294.774621,91,6.88025
373.711644,117,7.057091
108.391998,43,7.129709
79.074551,35,7.191415
262.612532,86,7.326985
362.733216,108,7.491665
90.601309,39,7.560278
135.129204,51,7.644637
705.022637,196,7.932897
46.823943,27,7.984272
203.350088,71,8.097779
96.399343,40,8.16869
165.827283,58,8.263427
205.688332,70,8.374671
213.288988,72,8.490378
91.844203,39,8.559332
62.01505,31,8.616249
111.716762,45,8.694067
252.168075,82,8.82121
161.232556,59,8.918887
203.264611,69,9.033162
322.079448,99,9.189523
131.521076,50,9.274764
149.936911,53,9.362229
236.285337,77,9.485512
108.575731,43,9.563962
173.77326,62,9.66604
276.35151,92,9.806551
196.386093,69,9.919051
101.713396,41,9.991446
101.004797,42,10.064792
264.309619,82,10.196059
476.962312,142,10.415414
123.457999,50,10.503502
242.906546,80,10.632079
209.871303,68,10.742402
507.63322,154,10.974828
92.270035,39,11.042788
199.675145,65,11.148678
195.721923,68,11.257934
135.064693,50,11.341652
154.88878,56,11.43508
168.186311,60,11.534637
285.914427,94,11.680735
158.592905,56,11.773116
321.430266,97,11.920487
374.868902,113,12.086085
226.736361,75,12.205643
56.152512,30,12.26236
104.19035,42,12.334977
215.055768,69,12.444861
47.565466,27,12.498161
320.491308,104,12.659012
115.118989,45,12.737576
117.571077,45,12.814542
229.612899,77,12.942457
123.828839,48,13.027392
280.156045,88,13.182252
182.17623,63,13.286878
242.699031,78,13.410879
165.432599,60,13.508911
403.408151,121,13.68858
112.041777,43,13.761332
130.395564,49,13.843496
187.075974,66,13.952427
144.313598,54,14.043186
363.686886,112,14.210726
73.963696,34,14.273682
118.242533,49,14.358107
156.7561,55,14.449841
169.821928,63,14.555465
119.945508,46,14.634403
252.469725,82,14.762845
60.643143,31,14.82075
342.109176,106,14.982544
108.977209,43,15.057615
197.961081,66,15.164636
406.614053,126,15.353455
161.763649,57,15.449196
78.301767,35,15.512341
113.275294,44,15.588707
362.926977,108,15.763318
259.347096,83,15.917994
113.158444,44,15.994873
82.495315,36,16.061401
207.672717,70,16.176543
118.146051,46,16.256553
260.489933,81,16.385895
110.805206,47,16.466152
313.624223,100,16.623829
164.441433,58,16.721067
129.585993,48,16.803566
368.235713,113,16.978755
98.364237,41,17.049985
82.608594,37,17.116482
156.359088,55,17.208199
98.881549,40,17.280169
130.870332,49,17.362374
114.329224,44,17.438978
126.235198,49,17.522675
161.425546,56,17.615169
545.944616,156,17.85064
116.311296,44,17.928124
227.69141,73,18.046023
336.042812,101,18.202312
287.758256,92,18.350171
142.391562,53,18.439136
233.085801,75,18.558878
172.758407,61,18.660807
171.916351,64,18.766752
160.348269,61,18.869417
94.410567,39,18.940175
109.957664,44,19.018424
129.657007,50,19.104499
145.759294,53,19.19397
129.074249,49,19.278541
48.089668,27,19.331125
165.207792,58,19.425995
158.173161,61,19.527523
64.018164,31,19.586269
141.469147,52,19.674315
159.886956,56,19.767877
400.495086,121,19.955526
125.575824,47,20.035017
181.195113,64,20.141614
142.494032,55,20.236247
144.774475,55,20.329737
73.92954,34,20.392534
91.605785,38,20.460845
136.489803,51,20.548146
145.854068,53,20.638496
428.421185,128,20.837951
95.530317,39,20.906425
129.926884,49,20.988625
67.875896,32,21.048604
131.771349,49,21.131407
114.767265,44,21.208959
358.415825,110,21.377781
127.14287,49,21.462122
238.762017,80,21.590649
116.381598,46,21.670789
83.318239,36,21.737603
196.735571,66,21.84595
270.89881,86,21.984423
201.770335,68,22.09373
81.637832,36,22.160197
281.796338,90,22.303659
53.446754,29,22.360221
141.05335,52,22.449553
200.185602,69,22.563695
114.097622,44,22.642468
183.571388,63,22.7466
130.339026,51,22.833035
179.306968,61,22.938778
126.699823,51,23.027184
234.189317,82,23.159328
242.411097,78,23.284412
286.016401,97,23.436534
339.71169,105,23.602434
170.63291,60,23.702837
106.641581,44,23.780267
807.822183,224,24.132606
70.580899,33,24.195318
112.057462,45,24.273971
207.636391,70,24.390351
268.301001,83,24.52388
137.010749,51,24.626047
193.672908,69,24.740741
246.289419,81,24.870167
134.88978,50,24.954416
68.63179,33,25.015794
216.034172,70,25.131424
104.71992,43,25.20688
66.322406,32,25.267569
240.02403,78,25.39356
152.001218,54,25.485064
179.564873,62,25.587499
215.555152,71,25.703195
189.344621,63,25.806895
92.011299,40,25.878577
119.832433,46,25.959885
180.125741,61,26.061103
89.194511,39,26.130934
158.966815,56,26.22624
185.440584,66,26.334337
61.500613,31,26.393677
87.461562,37,26.460737
173.302668,59,26.560021
121.986426,46,26.639146
106.011282,43,26.716157
71.371832,33,26.777953
52.284585,28,26.833972
67.42483,32,26.892928
289.080704,90,27.036495
152.236866,56,27.130855
123.793747,47,27.212039
376.122976,118,27.391468
83.108092,37,27.459872
133.318676,50,27.545231
163.973961,58,27.642462
93.445981,40,27.714342
130.136716,49,27.798027
198.638599,67,27.912674
229.738284,74,28.03373
131.38019,50,28.118313
565.3958,165,28.37683
154.173602,56,28.472252
250.622032,87,28.61432
117.20176,46,28.696054
117.288176,47,28.778132
106.778375,42,28.852692
126.653088,49,28.938946
352.012004,105,29.104919
197.490813,66,29.21095
74.293613,34,29.27547
146.735776,54,29.368069
390.873805,122,29.554802
113.56587,44,29.633563
98.044391,41,29.708308
126.966349,53,29.800488
140.810307,53,29.892239
377.556653,127,30.08755
263.566963,89,30.226943
384.400431,122,30.415337
483.908579,147,30.643399
496.085308,141,30.860709
103.73743,45,30.94223
243.088992,81,31.074708
147.252808,52,31.16133
265.925991,85,31.29929
112.428704,45,31.379739
62.019645,31,31.439866
130.293591,50,31.526697
107.747155,42,31.601958
48.954159,27,31.656377
169.244506,60,31.756125
76.184942,35,31.822119
70.416697,34,31.886945
116.941367,47,31.970997
318.659757,100,32.129774
354.841835,118,32.313183
57.786932,30,32.373021
258.786813,82,32.505381
277.110539,88,32.649959
176.767093,62,32.753085
114.668035,46,32.834335
486.719911,140,33.052026
218.714116,76,33.176358
325.493047,98,33.333185
256.172293,82,33.466427
141.97257,53,33.558819
183.259812,63,33.660375
107.751417,43,33.735385
364.580565,112,33.909152
334.528591,102,34.066
55.261958,29,34.12279
305.949401,93,34.271638
277.098914,89,34.414578
102.057508,43,34.492014
91.537929,38,34.559378
211.472016,69,34.672858
346.200517,105,34.837445
177.307528,62,34.941067
83.655863,37,35.008826
207.923116,72,35.123203
181.04931,62,35.224572
226.062519,76,35.349216
341.067637,106,35.513745
159.569204,59,35.613386
159.705577,58,35.730027
433.471681,138,35.942966
103.088983,42,36.015232
74.822572,35,36.079131
125.081766,48,36.160572
196.523671,69,36.275529
183.827375,63,36.378301
61.626332,31,36.437774
133.829104,49,36.52468
156.990002,56,36.620038
113.461212,45,36.700058
369.573203,113,36.876793
169.095039,61,37.944671
116.997742,49,38.624609
515.368235,145,40.068733
183.790714,66,40.795982
57.463972,29,40.889451
94.21756,40,41.568402
152.537954,53,42.277001
139.856737,52,42.987729
76.436101,35,43.094226
183.930398,64,43.808603
312.067095,100,45.165234
188.614885,63,45.874705
379.62143,114,46.695875
56.434698,29,47.333619
287.559255,89,48.117208
178.264374,65,48.840359
136.066182,50,49.540413
82.029673,36,50.216702
147.689992,52,50.357045
258.02956,86,51.675052
122.941303,47,52.377026
50.75302,28,52.469764
222.984326,73,53.23165
379.615237,118,54.623397
272.466614,85,55.377543
139.536086,51,56.062642
136.475195,51,56.760511
